05-29	24106
05-28	20296
05-21	22798
05-20	8903
05-23	26167
05-22	27547
05-25	23910
05-24	24505
05-27	7283
05-26	8290
05-30	23289
05-31	22650
05-07	23931
05-06	8414
05-05	8898
05-04	22501
05-03	23689
05-02	22994
05-01	19711
05-09	24361
05-08	23919
05-10	22345
05-11	22449
05-12	9499
05-13	8692
05-14	25434
05-15	25391
05-16	24764
05-17	23373
07-05	21737
07-04	17036
07-07	9083
07-06	19343
07-01	8552
07-03	21697
07-02	22698
06-11	24166
06-10	8554
06-13	23398
06-12	24864
06-15	21120
06-14	23100
06-17	7124
06-16	8328
06-19	24027
07-09	23938
07-08	8599
05-19	8950
05-18	22964
07-18	23979
07-19	23790
07-16	25641
07-17	24252
07-14	9310
07-15	8713
07-12	23016
07-13	21499
07-10	23541
07-11	23367
06-02	9408
06-03	8692
06-01	22248
06-06	22567
06-07	23796
06-04	25507
06-05	25233
06-08	22110
06-09	9689
07-29	8712
07-28	9462
07-23	24665
07-22	8654
07-21	9111
07-20	22239
07-27	22771
07-26	25060
07-25	25805
07-24	24965
06-30	9262
07-30	24118
07-31	23809
06-28	23105
06-29	21313
06-20	22307
06-21	24202
06-22	21328
06-23	8549
06-24	8414
06-25	23604
06-26	23456
06-27	23308
06-18	23540
